ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customerreviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,variable,1IMG,Caiman Eyeball,1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","<p>In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.</p><p>Prints are made to order and generally take 2- 3 days for production before shipping. As prints are made to order <a href=""http://localhost:8888/chasingwildlife/store/refunds"">refunds</a> are unfortunately not possible. <a href=""http://localhost:8888/chasingwildlife/store/refunds"">More info is available here</a>.</p>
<p>Express delivery is included in the price for EU and US customers. This is usually 2-3
days from when the print is ready. As my printer has locations worldwide nearly all other destinations are included as well. Times may vary. Check the <a href=""http://localhost:8888/chasingwildlife/store/deliveries"">delivery page</a> for details.</p>
<p>Prodigi is my printing partner. I have chosen them for their print quality and ability to print and ship locally. Find out more <a href =""http://localhost:8888/chasingwildlifeabout/printing"">here.</a></p>
<p>Discrepancies in computer and phone screens can lead to colours looking different when printed. Even if your screen has been calibrated colours can display subtle variations on print media.</p>
<p>Print sizes are measured and produced in inches. Centimeter sizes are given for indicative purposes and are not precise.</p>
<p>If think the image would look good on your wall with a different finish or a print size not mentioned above please just send a message with the <a href=""http://localhost:8888/chasingwildlife/contact"">contact form</a>.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Photo Prints,,,http://localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball.jpg,,,,,,,,,,Finish,"Stretched Canvas,Lustre Photographic Paper ,Fine Art Print on Premium Photo Rag",1,1,Size,"20 x 30 cm  8 x 12 inches,30 x 46 cm  12 x 18 inches,41 x 61 cm  16 x 24 inches,51 x 76 cm  20 x 30 inches,61 x 91 cm  24 x 36 inches",1,1
,variable,2IMG,Caiman Eyeball BW,1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","<p>In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.</p><p>Prints are made to order and generally take 2- 3 days for production before shipping. As prints are made to order <a href=""http://localhost:8888/chasingwildlife/store/refunds"">refunds</a> are unfortunately not possible. <a href=""http://localhost:8888/chasingwildlife/store/refunds"">More info is available here</a>.</p>
<p>Express delivery is included in the price for EU and US customers. This is usually 2-3
days from when the print is ready. As my printer has locations worldwide nearly all other destinations are included as well. Times may vary. Check the <a href=""http://localhost:8888/chasingwildlife/store/deliveries"">delivery page</a> for details.</p>
<p>Prodigi is my printing partner. I have chosen them for their print quality and ability to print and ship locally. Find out more <a href =""http://localhost:8888/chasingwildlifeabout/printing"">here.</a></p>
<p>Discrepancies in computer and phone screens can lead to colours looking different when printed. Even if your screen has been calibrated colours can display subtle variations on print media.</p>
<p>Print sizes are measured and produced in inches. Centimeter sizes are given for indicative purposes and are not precise.</p>
<p>If think the image would look good on your wall with a different finish or a print size not mentioned above please just send a message with the <a href=""http://localhost:8888/chasingwildlife/contact"">contact form</a>.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Photo Prints,,,http://localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball-BW.jpg,,,,,,,,,,Finish,"Stretched Canvas,Lustre Photographic Paper ,Fine Art Print on Premium Photo Rag",1,1,Size,"20 x 30 cm  8 x 12 inches,30 x 46 cm  12 x 18 inches,41 x 61 cm  16 x 24 inches,51 x 76 cm  20 x 30 inches,61 x 91 cm  24 x 36 inches",1,1
,variable,3IMG,Squirrel Monkey BW,1,0,visible,Squirrel Monkeys are common in the jungles and forests around the Amazon basin in the Bolivian Lowlands. However seeing them isn't so easy unless they come to the edges of the forest. This cute troop came to the waters edge while we were heading upstream in a motorised canoe.,"<p>Squirrel Monkeys are common in the jungles and forests around the Amazon basin in the Bolivian Lowlands. However seeing them isn't so easy unless they come to the edges of the forest. This cute troop came to the waters edge while we were heading upstream in a motorised canoe.</p><p>Prints are made to order and generally take 2- 3 days for production before shipping. As prints are made to order <a href=""http://localhost:8888/chasingwildlife/store/refunds"">refunds</a> are unfortunately not possible. <a href=""http://localhost:8888/chasingwildlife/store/refunds"">More info is available here</a>.</p>
<p>Express delivery is included in the price for EU and US customers. This is usually 2-3
days from when the print is ready. As my printer has locations worldwide nearly all other destinations are included as well. Times may vary. Check the <a href=""http://localhost:8888/chasingwildlife/store/deliveries"">delivery page</a> for details.</p>
<p>Prodigi is my printing partner. I have chosen them for their print quality and ability to print and ship locally. Find out more <a href =""http://localhost:8888/chasingwildlifeabout/printing"">here.</a></p>
<p>Discrepancies in computer and phone screens can lead to colours looking different when printed. Even if your screen has been calibrated colours can display subtle variations on print media.</p>
<p>Print sizes are measured and produced in inches. Centimeter sizes are given for indicative purposes and are not precise.</p>
<p>If think the image would look good on your wall with a different finish or a print size not mentioned above please just send a message with the <a href=""http://localhost:8888/chasingwildlife/contact"">contact form</a>.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Photo Prints,,,http://localhost:8888/chasingwildlife/wp-content/uploads/Squirrel-Monkey-BW.jpg,,,,,,,,,,Finish,"Stretched Canvas,Lustre Photographic Paper ,Fine Art Print on Premium Photo Rag",1,1,Size,"20 x 25 cm  8 x 10 inches,41 x 51 cm  16 x 20 inches,61 x 76 cm  24 x 30 inches",1,1
,variable,4IMG,Squirrel Monkey,1,0,visible,Squirrel Monkeys are common in the jungles and forests around the Amazon basin in the Bolivian Lowlands. However seeing them isn't so easy unless they come to the edges of the forest. This cute troop came to the waters edge while we were heading upstream in a motorised canoe.,"<p>Squirrel Monkeys are common in the jungles and forests around the Amazon basin in the Bolivian Lowlands. However seeing them isn't so easy unless they come to the edges of the forest. This cute troop came to the waters edge while we were heading upstream in a motorised canoe.</p><p>Prints are made to order and generally take 2- 3 days for production before shipping. As prints are made to order <a href=""http://localhost:8888/chasingwildlife/store/refunds"">refunds</a> are unfortunately not possible. <a href=""http://localhost:8888/chasingwildlife/store/refunds"">More info is available here</a>.</p>
<p>Express delivery is included in the price for EU and US customers. This is usually 2-3
days from when the print is ready. As my printer has locations worldwide nearly all other destinations are included as well. Times may vary. Check the <a href=""http://localhost:8888/chasingwildlife/store/deliveries"">delivery page</a> for details.</p>
<p>Prodigi is my printing partner. I have chosen them for their print quality and ability to print and ship locally. Find out more <a href =""http://localhost:8888/chasingwildlifeabout/printing"">here.</a></p>
<p>Discrepancies in computer and phone screens can lead to colours looking different when printed. Even if your screen has been calibrated colours can display subtle variations on print media.</p>
<p>Print sizes are measured and produced in inches. Centimeter sizes are given for indicative purposes and are not precise.</p>
<p>If think the image would look good on your wall with a different finish or a print size not mentioned above please just send a message with the <a href=""http://localhost:8888/chasingwildlife/contact"">contact form</a>.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Photo Prints,,,http://localhost:8888/chasingwildlife/wp-content/uploads/Squirrel-Monkey.jpg,,,,,,,,,,Finish,"Stretched Canvas,Lustre Photographic Paper ,Fine Art Print on Premium Photo Rag",1,1,Size,"20 x 25 cm  8 x 10 inches,41 x 51 cm  16 x 20 inches,61 x 76 cm  24 x 30 inches",1,1
,variable,7IMG,Gazelle Conversation,1,0,visible,"In the early afternoon the Gazelles tend to lie down and take a break. However one needs to always be aware as predators are always on the prowl, though less are around during the heat of the day.","<p>In the early afternoon the Gazelles tend to lie down and take a break. However one needs to always be aware as predators are always on the prowl, though less are around during the heat of the day.</p><p>Prints are made to order and generally take 2- 3 days for production before shipping. As prints are made to order <a href=""http://localhost:8888/chasingwildlife/store/refunds"">refunds</a> are unfortunately not possible. <a href=""http://localhost:8888/chasingwildlife/store/refunds"">More info is available here</a>.</p>
<p>Express delivery is included in the price for EU and US customers. This is usually 2-3
days from when the print is ready. As my printer has locations worldwide nearly all other destinations are included as well. Times may vary. Check the <a href=""http://localhost:8888/chasingwildlife/store/deliveries"">delivery page</a> for details.</p>
<p>Prodigi is my printing partner. I have chosen them for their print quality and ability to print and ship locally. Find out more <a href =""http://localhost:8888/chasingwildlifeabout/printing"">here.</a></p>
<p>Discrepancies in computer and phone screens can lead to colours looking different when printed. Even if your screen has been calibrated colours can display subtle variations on print media.</p>
<p>Print sizes are measured and produced in inches. Centimeter sizes are given for indicative purposes and are not precise.</p>
<p>If think the image would look good on your wall with a different finish or a print size not mentioned above please just send a message with the <a href=""http://localhost:8888/chasingwildlife/contact"">contact form</a>.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Photo Prints,,,http://localhost:8888/chasingwildlife/wp-content/uploads/Gazelle-Conversation.jpg,,,,,,,,,,Finish,"Stretched Canvas,Lustre Photographic Paper ,Fine Art Print on Premium Photo Rag",1,1,Size,"20 x 30 cm  8 x 12 inches,30 x 46 cm  12 x 18 inches,41 x 61 cm  16 x 24 inches,51 x 76 cm  20 x 30 inches,61 x 91 cm  24 x 36 inches",1,1
,variable,8IMG,Grazing Zebra Portrait BW,1,0,visible,I still have to find a subject that suits black and white better than a Zebra. The contrast always makes for a good image. However I think I still haven't succeeded in finding a zebra that makes a stunning black and white. A good excuse to go back to Africa.,"<p>I still have to find a subject that suits black and white better than a Zebra. The contrast always makes for a good image. However I think I still haven't succeeded in finding a zebra that makes a stunning black and white. A good excuse to go back to Africa.</p><p>Prints are made to order and generally take 2- 3 days for production before shipping. As prints are made to order <a href=""http://localhost:8888/chasingwildlife/store/refunds"">refunds</a> are unfortunately not possible. <a href=""http://localhost:8888/chasingwildlife/store/refunds"">More info is available here</a>.</p>
<p>Express delivery is included in the price for EU and US customers. This is usually 2-3
days from when the print is ready. As my printer has locations worldwide nearly all other destinations are included as well. Times may vary. Check the <a href=""http://localhost:8888/chasingwildlife/store/deliveries"">delivery page</a> for details.</p>
<p>Prodigi is my printing partner. I have chosen them for their print quality and ability to print and ship locally. Find out more <a href =""http://localhost:8888/chasingwildlifeabout/printing"">here.</a></p>
<p>Discrepancies in computer and phone screens can lead to colours looking different when printed. Even if your screen has been calibrated colours can display subtle variations on print media.</p>
<p>Print sizes are measured and produced in inches. Centimeter sizes are given for indicative purposes and are not precise.</p>
<p>If think the image would look good on your wall with a different finish or a print size not mentioned above please just send a message with the <a href=""http://localhost:8888/chasingwildlife/contact"">contact form</a>.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Photo Prints,,,http://localhost:8888/chasingwildlife/wp-content/uploads/Grazing-Zebra-Portrait-BW.jpg,,,,,,,,,,Finish,"Stretched Canvas,Lustre Photographic Paper ,Fine Art Print on Premium Photo Rag",1,1,Size,"20 x 20 cm  8 x 8 inches,30 x 30 cm  12 x 12 inches,41 x 41 cm  16 x 16 inches,51 x 51 cm  20 x 20 inches,61 x 61 cm  24 x 24 inches",1,1
,variable,9IMG,Dozing Lioness,1,0,visible,"I was lucky to go straight out and find a lioness on my first game drive in the Masai Mara in Kenya. Well I thought I was lucky. Our guide explained afterwards that some animals are creatures of routine, and this lioness and her pride always took an afternoon siesta in similar places.","<p>I was lucky to go straight out and find a lioness on my first game drive in the Masai Mara in Kenya. Well I thought I was lucky. Our guide explained afterwards that some animals are creatures of routine, and this lioness and her pride always took an afternoon siesta in similar places.</p><p>Prints are made to order and generally take 2- 3 days for production before shipping. As prints are made to order <a href=""http://localhost:8888/chasingwildlife/store/refunds"">refunds</a> are unfortunately not possible. <a href=""http://localhost:8888/chasingwildlife/store/refunds"">More info is available here</a>.</p>
<p>Express delivery is included in the price for EU and US customers. This is usually 2-3
days from when the print is ready. As my printer has locations worldwide nearly all other destinations are included as well. Times may vary. Check the <a href=""http://localhost:8888/chasingwildlife/store/deliveries"">delivery page</a> for details.</p>
<p>Prodigi is my printing partner. I have chosen them for their print quality and ability to print and ship locally. Find out more <a href =""http://localhost:8888/chasingwildlifeabout/printing"">here.</a></p>
<p>Discrepancies in computer and phone screens can lead to colours looking different when printed. Even if your screen has been calibrated colours can display subtle variations on print media.</p>
<p>Print sizes are measured and produced in inches. Centimeter sizes are given for indicative purposes and are not precise.</p>
<p>If think the image would look good on your wall with a different finish or a print size not mentioned above please just send a message with the <a href=""http://localhost:8888/chasingwildlife/contact"">contact form</a>.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Photo Prints,,,http://localhost:8888/chasingwildlife/wp-content/uploads/Dozing-Lioness.jpg,,,,,,,,,,Finish,"Stretched Canvas,Lustre Photographic Paper ,Fine Art Print on Premium Photo Rag",1,1,Size,"20 x 25 cm  8 x 10 inches,41 x 51 cm  16 x 20 inches,61 x 76 cm  24 x 30 inches",1,1
,variable,10IMG,Wondering Lioness,1,0,visible,"I was lucky to go straight out and find a lioness on my first game drive in the Masai Mara in Kenya. Well I thought I was lucky. Our guide explained afterwards that some animals are creatures of routine, and this lioness and her pride always took an afternoon siesta in similar places.","<p>I was lucky to go straight out and find a lioness on my first game drive in the Masai Mara in Kenya. Well I thought I was lucky. Our guide explained afterwards that some animals are creatures of routine, and this lioness and her pride always took an afternoon siesta in similar places.</p><p>Prints are made to order and generally take 2- 3 days for production before shipping. As prints are made to order <a href=""http://localhost:8888/chasingwildlife/store/refunds"">refunds</a> are unfortunately not possible. <a href=""http://localhost:8888/chasingwildlife/store/refunds"">More info is available here</a>.</p>
<p>Express delivery is included in the price for EU and US customers. This is usually 2-3
days from when the print is ready. As my printer has locations worldwide nearly all other destinations are included as well. Times may vary. Check the <a href=""http://localhost:8888/chasingwildlife/store/deliveries"">delivery page</a> for details.</p>
<p>Prodigi is my printing partner. I have chosen them for their print quality and ability to print and ship locally. Find out more <a href =""http://localhost:8888/chasingwildlifeabout/printing"">here.</a></p>
<p>Discrepancies in computer and phone screens can lead to colours looking different when printed. Even if your screen has been calibrated colours can display subtle variations on print media.</p>
<p>Print sizes are measured and produced in inches. Centimeter sizes are given for indicative purposes and are not precise.</p>
<p>If think the image would look good on your wall with a different finish or a print size not mentioned above please just send a message with the <a href=""http://localhost:8888/chasingwildlife/contact"">contact form</a>.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Photo Prints,,,http://localhost:8888/chasingwildlife/wp-content/uploads/Wondering-Lioness.jpg,,,,,,,,,,Finish,"Stretched Canvas,Lustre Photographic Paper ,Fine Art Print on Premium Photo Rag",1,1,Size,"20 x 25 cm  8 x 10 inches,41 x 51 cm  16 x 20 inches,61 x 76 cm  24 x 30 inches",1,1
,variable,11IMG,Elephant Family BW,1,0,visible,Elephants normally travel in herds which means that family portraits are relatively easy. However just like any family they don't always look at the camera all at the same time.,"<p>Elephants normally travel in herds which means that family portraits are relatively easy. However just like any family they don't always look at the camera all at the same time.</p><p>Prints are made to order and generally take 2- 3 days for production before shipping. As prints are made to order <a href=""http://localhost:8888/chasingwildlife/store/refunds"">refunds</a> are unfortunately not possible. <a href=""http://localhost:8888/chasingwildlife/store/refunds"">More info is available here</a>.</p>
<p>Express delivery is included in the price for EU and US customers. This is usually 2-3
days from when the print is ready. As my printer has locations worldwide nearly all other destinations are included as well. Times may vary. Check the <a href=""http://localhost:8888/chasingwildlife/store/deliveries"">delivery page</a> for details.</p>
<p>Prodigi is my printing partner. I have chosen them for their print quality and ability to print and ship locally. Find out more <a href =""http://localhost:8888/chasingwildlifeabout/printing"">here.</a></p>
<p>Discrepancies in computer and phone screens can lead to colours looking different when printed. Even if your screen has been calibrated colours can display subtle variations on print media.</p>
<p>Print sizes are measured and produced in inches. Centimeter sizes are given for indicative purposes and are not precise.</p>
<p>If think the image would look good on your wall with a different finish or a print size not mentioned above please just send a message with the <a href=""http://localhost:8888/chasingwildlife/contact"">contact form</a>.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Photo Prints,,,http://localhost:8888/chasingwildlife/wp-content/uploads/Elephant-Family-BW.jpg,,,,,,,,,,Finish,"Stretched Canvas,Lustre Photographic Paper ,Fine Art Print on Premium Photo Rag",1,1,Size,"20 x 40 cm  8 x 16 inches,30 x 60 cm  12 x 24 inches,41 x 82 cm  16 x 32 inches",1,1
,variable,12IMG,Family of Elephants,1,0,visible,Elephants normally travel in herds which means that family portraits are relatively easy. However just like any family they don't always look at the camera all at the same time.,"<p>Elephants normally travel in herds which means that family portraits are relatively easy. However just like any family they don't always look at the camera all at the same time.</p><p>Prints are made to order and generally take 2- 3 days for production before shipping. As prints are made to order <a href=""http://localhost:8888/chasingwildlife/store/refunds"">refunds</a> are unfortunately not possible. <a href=""http://localhost:8888/chasingwildlife/store/refunds"">More info is available here</a>.</p>
<p>Express delivery is included in the price for EU and US customers. This is usually 2-3
days from when the print is ready. As my printer has locations worldwide nearly all other destinations are included as well. Times may vary. Check the <a href=""http://localhost:8888/chasingwildlife/store/deliveries"">delivery page</a> for details.</p>
<p>Prodigi is my printing partner. I have chosen them for their print quality and ability to print and ship locally. Find out more <a href =""http://localhost:8888/chasingwildlifeabout/printing"">here.</a></p>
<p>Discrepancies in computer and phone screens can lead to colours looking different when printed. Even if your screen has been calibrated colours can display subtle variations on print media.</p>
<p>Print sizes are measured and produced in inches. Centimeter sizes are given for indicative purposes and are not precise.</p>
<p>If think the image would look good on your wall with a different finish or a print size not mentioned above please just send a message with the <a href=""http://localhost:8888/chasingwildlife/contact"">contact form</a>.</p>",,,taxable,,1,,,0,0,,,,,0,,,,Photo Prints,,,http://localhost:8888/chasingwildlife/wp-content/uploads/Family-of-Elephants.jpg,,,,,,,,,,Finish,"Stretched Canvas,Lustre Photographic Paper ,Fine Art Print on Premium Photo Rag",1,1,Size,"20 x 30 cm  8 x 12 inches,30 x 46 cm  12 x 18 inches,41 x 61 cm  16 x 24 inches,51 x 76 cm  20 x 30 inches,61 x 91 cm  24 x 36 inches",1,1
