ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customerreviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,variation,1IMG8X12CAN19SC,"Caiman Eyeball-Stretched Canvas, 20 x 30 cm, 8 x 12 inches",1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","All stretched canvas prints have a non-coated finish on a 19 mm stretched frame of European knotless pine. Canvases are printed with a mirror wrap, and stretched by a professional framing team, ensuring perfect corner folds and an excellent finish. Canvases are 400 gsm.",,,taxable,parent,1,,,0,0,,,,,0,,,100,Photo Prints,,,http>//localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball.jpg,,,1IMG,,,,,,,Finish,Stretched Canvas,,1,Size,20 x 30 cm; 8 x 12 inches,,1
,variation,1IMG12X18CAN19SC,"Caiman Eyeball-Stretched Canvas, 30 x 46 cm, 12 x 18 inches",1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","All stretched canvas prints have a non-coated finish on a 19 mm stretched frame of European knotless pine. Canvases are printed with a mirror wrap, and stretched by a professional framing team, ensuring perfect corner folds and an excellent finish. Canvases are 400 gsm.",,,taxable,parent,1,,,0,0,,,,,0,,,150,Photo Prints,,,http>//localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball.jpg,,,1IMG,,,,,,,Finish,Stretched Canvas,,1,Size,30 x 46 cm; 12 x 18 inches,,1
,variation,1IMG16X24CAN19SC,"Caiman Eyeball-Stretched Canvas, 41 x 61 cm, 16 x 24 inches",1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","All stretched canvas prints have a non-coated finish on a 19 mm stretched frame of European knotless pine. Canvases are printed with a mirror wrap, and stretched by a professional framing team, ensuring perfect corner folds and an excellent finish. Canvases are 400 gsm.",,,taxable,parent,1,,,0,0,,,,,0,,,225,Photo Prints,,,http>//localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball.jpg,,,1IMG,,,,,,,Finish,Stretched Canvas,,1,Size,41 x 61 cm; 16 x 24 inches,,1
,variation,1IMG20X30CAN19SC,"Caiman Eyeball-Stretched Canvas, 51 x 76 cm, 20 x 30 inches",1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","All stretched canvas prints have a non-coated finish on a 19 mm stretched frame of European knotless pine. Canvases are printed with a mirror wrap, and stretched by a professional framing team, ensuring perfect corner folds and an excellent finish. Canvases are 400 gsm.",,,taxable,parent,1,,,0,0,,,,,0,,,225,Photo Prints,,,http>//localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball.jpg,,,1IMG,,,,,,,Finish,Stretched Canvas,,1,Size,51 x 76 cm; 20 x 30 inches,,1
,variation,1IMG24X36CAN19SC,"Caiman Eyeball-Stretched Canvas, 61 x 91 cm, 24 x 36 inches",1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","All stretched canvas prints have a non-coated finish on a 19 mm stretched frame of European knotless pine. Canvases are printed with a mirror wrap, and stretched by a professional framing team, ensuring perfect corner folds and an excellent finish. Canvases are 400 gsm.",,,taxable,parent,1,,,0,0,,,,,0,,,325,Photo Prints,,,http>//localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball.jpg,,,1IMG,,,,,,,Finish,Stretched Canvas,,1,Size,61 x 91 cm; 24 x 36 inches,,1
,variation,1IMG12X18PP240LPP,"Caiman Eyeball-Lustre Photographic Paper , 30 x 46 cm, 12 x 18 inches",1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","A premium photographic paper with a satin lustre finish. The lustre finish provides a subtle pearl-like texture. Supporting deeper colour-saturation than matte papers, this paper produces impressive colour depth and strikingly intense blacks. Lustre prints are on 240 gsm premium paper. Photo prints are surrounded by a white border. Bordersize varies and is approximately 10% of the edge length.",,,taxable,parent,1,,,0,0,,,,,0,,,125,Photo Prints,,,http>//localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball.jpg,,,1IMG,,,,,,,Finish,Lustre Photographic Paper ,,1,Size,30 x 46 cm; 12 x 18 inches,,1
,variation,1IMG12X18FA308HPR,"Caiman Eyeball-Fine Art Print on Premium Photo Rag, 30 x 46 cm, 12 x 18 inches",1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.",A heavy-duty matte paper made of 100% cotton rag with a natural white tone and excellent black saturation. This paper produces very high-quality print reproductions. The Hahnemühle Photo Rag paper is 308 gsm. Fine art prints are surrounded by a white border. Bordersize varies and is approximately 10% of the edge length.,,,taxable,parent,1,,,0,0,,,,,0,,,175,Photo Prints,,,http>//localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball.jpg,,,1IMG,,,,,,,Finish,Fine Art Print on Premium Photo Rag,,1,Size,30 x 46 cm; 12 x 18 inches,,1
,variation,2IMG8X12CAN19SC,"Caiman Eyeball BW-Stretched Canvas, 20 x 30 cm, 8 x 12 inches",1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","All stretched canvas prints have a non-coated finish on a 19 mm stretched frame of European knotless pine. Canvases are printed with a mirror wrap, and stretched by a professional framing team, ensuring perfect corner folds and an excellent finish. Canvases are 400 gsm.",,,taxable,parent,1,,,0,0,,,,,0,,,100,Photo Prints,,,http>//localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball-BW.jpg,,,2IMG,,,,,,,Finish,Stretched Canvas,,1,Size,20 x 30 cm; 8 x 12 inches,,1
,variation,2IMG12X18CAN19SC,"Caiman Eyeball BW-Stretched Canvas, 30 x 46 cm, 12 x 18 inches",1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","All stretched canvas prints have a non-coated finish on a 19 mm stretched frame of European knotless pine. Canvases are printed with a mirror wrap, and stretched by a professional framing team, ensuring perfect corner folds and an excellent finish. Canvases are 400 gsm.",,,taxable,parent,1,,,0,0,,,,,0,,,150,Photo Prints,,,http>//localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball-BW.jpg,,,2IMG,,,,,,,Finish,Stretched Canvas,,1,Size,30 x 46 cm; 12 x 18 inches,,1
,variation,2IMG16X24CAN19SC,"Caiman Eyeball BW-Stretched Canvas, 41 x 61 cm, 16 x 24 inches",1,0,visible,"In the upper reaches of the Amazon, in Bolivia there are so many caiman in the rivers but one doesn't often see more than the eyeball poking out above the surface.","All stretched canvas prints have a non-coated finish on a 19 mm stretched frame of European knotless pine. Canvases are printed with a mirror wrap, and stretched by a professional framing team, ensuring perfect corner folds and an excellent finish. Canvases are 400 gsm.",,,taxable,parent,1,,,0,0,,,,,0,,,225,Photo Prints,,,http>//localhost:8888/chasingwildlife/wp-content/uploads/Caiman-Eyeball-BW.jpg,,,2IMG,,,,,,,Finish,Stretched Canvas,,1,Size,41 x 61 cm; 16 x 24 inches,,1
